Cellline_id	Cellline_name	Cellline_species	Cellline_disease	cell_describe
CELL10047	Arabidopsis thalianasuspension cells	Arabidopsis thaliana	.	Arabidopsis thalianasuspension cells
CELL00027	BLSC-KU-19 cells	Bos taurus	Leukemia	.
CELL00028	MDCK cells	Canis lupus familiaris	Normal	.
CELL00029	CAF cells	Carassius auratus	Normal	.
CELL00030	CHO-S/H9C2 cells	Cricetulus griseus	Normal	.
CELL00031	ZFL cells	Danio rerio	Normal	.
CELL00032	LMH cells	Gallus gallus	Hepatoma	.
CELL00033	HOK cells	Hexagrammos otakii	Normal	.
CELL10001	hBMCs	Homo sapiens	.	Bone marrow cells
CELL10002	hBMSCs	Homo sapiens	.	Bone marrow stromal cells
CELL10003	hBMSCs	Homo sapiens	.	Bone marrow stromal cells
CELL10004	hBCs	Homo sapiens	.	Brain cells
CELL10005	hBCs	Homo sapiens	.	Brain cells
CELL10006	hCFs	Homo sapiens	.	Cardiac Fibroblasts
CELL10007	hCMs	Homo sapiens	.	Cardiomyocytes
CELL10008	hCDs	Homo sapiens	.	Chondrocytes
CELL10009	hCCs	Homo sapiens	.	Colon cells
CELL10010	hESCs	Homo sapiens	.	Embryonic stem cells
CELL10011	hEPCs	Homo sapiens	.	Endothelial progenitor cells
CELL10012	hESCCs	Homo sapiens	.	Esophageal squamous cancer cells
CELL10013	hEECs	Homo sapiens	.	Eutopic endometrial cells
CELL10014	hGCCs	Homo sapiens	.	Gastric cancer cells
CELL10015	hGCs	Homo sapiens	.	Gastric cells
CELL10016	hHSCs	Homo sapiens	.	Hepatic stellate cells
CELL10017	hHCs	Homo sapiens	.	Hippocampal cells
CELL10018	hPMCs	Homo sapiens	.	Human Primary Meningeal Cells
CELL10019	hAAFs	Homo sapiens	.	Human aortic adventitial fibroblasts
CELL10020	hBMMSCs	Homo sapiens	.	Human bone marrow mesenchymal stem cells
CELL10021	hBMECs	Homo sapiens	.	Human brain microvascular endothelial cells
CELL10022	hCMs	Homo sapiens	.	Human cardiomyocytes
CELL10023	hCECs	Homo sapiens	.	Human cervical epithelial cells
CELL10024	hETCs	Homo sapiens	.	Human first-trimester extravillous trophoblast cells
CELL10025	hHSCs	Homo sapiens	.	Human hepatic stellate cells
CELL10026	hHSCs	Homo sapiens	.	Human hepatic stellate cells
CELL10027	hIBECs	Homo sapiens	.	Human intrahepatic biliary epithelial cells
CELL10028	hMCs	Homo sapiens	.	Human melanocyte cells
CELL10029	hMCCs	Homo sapiens	.	Human meningeal cells
CELL10030	hMCCs	Homo sapiens	.	Human meningeal cells
CELL10031	hMGCs	Homo sapiens	.	Human normal brain astroglia cells
CELL10032	hOFs	Homo sapiens	.	Human ocular fibroblasts
CELL10033	hPMECs	Homo sapiens	.	Human pulmonary microvascular endothelial cells
CELL10034	hRECs	Homo sapiens	.	Human retinal endothelial cells
CELL10035	hTCs	Homo sapiens	.	Human tumour cells
CELL10036	HUVECs	Homo sapiens	.	Human umbilical vein endothelial cells
CELL10037	HUVECs	Homo sapiens	.	Human umbilical vein endothelial cells
CELL10038	hUPSCs	Homo sapiens	.	Human uterine serous papillary carcinoma-1 cells
CELL10039	hLCs	Homo sapiens	.	Liver cells
CELL10040	hLCs	Homo sapiens	.	Liver cells
CELL10041	hNCs	Homo sapiens	.	Neutrophils cells
CELL10042	hACs	Homo sapiens	.	Normal human astrocyte cells
CELL10043	hOECs	Homo sapiens	.	Normal oesophageal epithelial cells
CELL10044	hPLSCs	Homo sapiens	.	Periodontal ligament stem cells
CELL10045	hT2AECs	Homo sapiens	.	Type II alveolar epithelial cells
CELL10048	hAECs	Homo sapiens	.	Human airway epithelial cells
CELL10049	hBMDMs	Homo sapiens	.	Human bone marrow-derived macrophages
CELL10050	hBEs	Homo sapiens	.	Human bronchial epithelial cells
CELL10051	hCMs	Homo sapiens	.	Human cardiomyocytes
CELL10052	hCEPs	Homo sapiens	.	Human cartilage endplate cells
CELL10053	hCTCs	Homo sapiens	.	Human circulating tumor cells
CELL10054	G12D	Homo sapiens	.	Human colorectal cancer cells
CELL10055	G13D	Homo sapiens	.	Human colorectal cancer cells
CELL10056	B4G12-CEnC	Homo sapiens	.	Human corneal endothelial cells
CELL10057	hCAECs	Homo sapiens	.	Human coronary artery endothelial cells
CELL10058	hDFs	Homo sapiens	.	Human dermal fibroblasts
CELL10059	hESCs	Homo sapiens	.	Human embryonic stem cells
CELL10060	hESCs	Homo sapiens	.	Human endometrial stromal cells
CELL10061	hEECs	Homo sapiens	.	Human esophageal epithelial cells
CELL10062	BJ-eLR	Homo sapiens	.	Human fibroblast cancer cells
CELL10063	BJeH	Homo sapiens	.	Human foreskin fibroblasts
CELL10064	BJeH	Homo sapiens	.	Human foreskin fibroblasts
CELL10065	BJeHLT	Homo sapiens	.	Human foreskin fibroblasts
CELL10066	BJeLR	Homo sapiens	.	Human foreskin fibroblasts
CELL10067	GSE-1	Homo sapiens	.	Human gastric mucosal epithelial cells
CELL10068	HEB	Homo sapiens	.	Human glial cells
CELL10069	TG905	Homo sapiens	.	Human glioblastoma cells
CELL10070	HN3R	Homo sapiens	.	Human head and neck squamous cell carcinoma cell
CELL10071	HN4R	Homo sapiens	.	Human head and neck squamous cell carcinoma cell
CELL10072	hHemECs	Homo sapiens	.	Human hemangioma endothelial cells
CELL10073	hHSCs	Homo sapiens	.	Human hepatic stellate cells
CELL10074	Hccm	Homo sapiens	.	Human hepatocellular carcinoma cells
CELL10075	HCC-LY10	Homo sapiens	.	Human hepatoma cells
CELL10076	NCCFH1	Homo sapiens	.	Human hereditary leiomyomatosis and renal cell cancer cells
CELL10077	h-iPSCs	Homo sapiens	.	Human induced pluripotent stem cells
CELL10078	CTCC-400-0154	Homo sapiens	.	Human malignant meningioma cells
CELL10079	SK-Mel 505	Homo sapiens	.	Human melanoma cells
CELL10080	SK-Mel 505	Homo sapiens	.	Human melanoma cells
CELL10081	PM3	Homo sapiens	.	Human meningioma cells
CELL10082	hMCs	Homo sapiens	.	Human mesangial cells
CELL10083	H332m	Homo sapiens	.	Human non-small cell lung cancer cells
CELL10084	HCoEpiC	Homo sapiens	.	Human normal colonic epithelial cells
CELL10085	PCS-201-012	Homo sapiens	.	Human normal dermal fibroblasts
CELL10086	HOB	Homo sapiens	.	Human normal osteoblastic cells
CELL10087	HNP	Homo sapiens	.	Human nucleus pulposus cells
CELL10088	hNPCs	Homo sapiens	.	Human nucleus pulposus cells
CELL10089	hNPCs	Homo sapiens	.	Human nucleus pulposus cells
CELL10090	hNPCs	Homo sapiens	.	Human nucleus pulposus cells
CELL10091	hOGCs	Homo sapiens	.	Human ovarian granulosa cells
CELL10092	hPDLFs	Homo sapiens	.	Human periodontal ligament fibroblasts
CELL10093	hPBLs	Homo sapiens	.	Human peripheral blood lymphocytes
CELL10094	hPBMCs	Homo sapiens	.	Human peripheral blood mononuclear cells
CELL10095	hPTs	Homo sapiens	.	Human placental tissues
CELL10096	hPCECs	Homo sapiens	.	Human primary corneal endothelial cells
CELL10097	HK-2	Homo sapiens	.	Human renal glomerular endothelial cells
CELL10098	HRCECs	Homo sapiens	.	Human retinal capillary endothelial cells
CELL10099	HfRPE	Homo sapiens	.	Human retinal pigment epithelial cells
CELL10100	hTECs	Homo sapiens	.	Human tongue epithelial cells
CELL10101	BT574	Homo sapiens	.	Human triple negative breast cancer cells
CELL10102	hUCB-MSCs	Homo sapiens	.	Human umbilical cord blood derived mesenchymal stem cells
CELL10103	hUPECs	Homo sapiens	.	Human urine-derived podocyte-like epithelial cells
CELL10104	mPHs	Homo sapiens	.	Mouse primary hepatocytes
CELL10105	AA01	Homo sapiens	.	Pancreatic cancer cells
CELL10106	AA02	Homo sapiens	.	Pancreatic cancer cells
CELL10107	PHsPDAC	Homo sapiens	.	Primary human pancreatic ductal adenocarcinoma cells
CELL10187	GSC51	Homo sapiens	.	WHO grade IV specimens
CELL10188	GSC52	Homo sapiens	.	WHO grade IV specimens
CELL10189	GSC53	Homo sapiens	.	WHO grade IV specimens
CELL10190	GSC55	Homo sapiens	.	WHO grade IV specimens
CELL10191	GSC56	Homo sapiens	.	WHO grade IV specimens
CELL10192	GSC58	Homo sapiens	.	WHO grade IV specimens
CELL00390	RPMI-8402 cells	Homo sapiens	Acute lymphoblastic leukemia	.
CELL00406	SET-2 cells	Homo sapiens	Acute megakaryoblastic leukemia	.
CELL00457	UT-7/Epo cells	Homo sapiens	Acute megakaryoblastic leukemia	.
CELL00207	NOMO-1 cells	Homo sapiens	Acute monocytic leukemia	.
CELL00372	Mono-Mac-6 cells	Homo sapiens	Acute monocytic leukemia	.
CELL00020	Kasumi-1 cells	Homo sapiens	Acute myeloid leukemia	.
CELL00064	SKM-1 cells	Homo sapiens	Acute myeloid leukemia	.
CELL00386	OCI-AML-2 cells	Homo sapiens	Acute myeloid leukemia	.
CELL00037	NB4 cells	Homo sapiens	Acute promyelocytic leukemia	.
CELL00130	SW13 cells	Homo sapiens	Adrenal cortex carcinoma	.
CELL00529	HAC15 cells	Homo sapiens	Adrenal cortex carcinoma	.
CELL00039	U-937 cells	Homo sapiens	Adult acute monocytic leukemia	.
CELL00035	HL-60 cells	Homo sapiens	Adult acute myeloid leukemia	.
CELL00105	KG-1 cells	Homo sapiens	Adult acute myeloid leukemia	.
CELL00239	MOLM-13 cells	Homo sapiens	Adult acute myeloid leukemia	.
CELL00396	OCI-AML3 cells	Homo sapiens	Adult acute myeloid leukemia	.
CELL00337	MLL/AF4+ RS4 cells	Homo sapiens	Adult B acute lymphoblastic leukemia	.
CELL00061	SNU-398 cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00063	SNU-182 cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00116	SNU-449 cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00253	JHH-2 cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00255	JHH-7 cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00275	Li-7 cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00285	MHCC97-H cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00299	HCCLM3 cells	Homo sapiens	Adult hepatocellular carcinoma	.
CELL00041	MOLT4 cells	Homo sapiens	Adult T acute lymphoblastic leukemia	.
CELL00054	Rh30 cells	Homo sapiens	Alveolar rhabdomyosarcoma	.
CELL00241	Rh41 cells	Homo sapiens	Alveolar rhabdomyosarcoma	.
CELL00389	Rh18 cells	Homo sapiens	Alveolar rhabdomyosarcoma	.
CELL00069	A-375 cells	Homo sapiens	Amelanotic melanoma	.
CELL00154	A2058 cells	Homo sapiens	Amelanotic melanoma	.
CELL00330	MV3 cells	Homo sapiens	Amelanotic melanoma	.
CELL00508	LO #2 cells	Homo sapiens	Amelanotic melanoma	.
CELL00346	SU-DHL-1 cells	Homo sapiens	Anaplastic large cell lymphoma	.
CELL00358	BHT101 cells	Homo sapiens	Anaplastic thyroid carcinoma	.
CELL00610	SHG-44 cells	Homo sapiens	Astrocytoma	.
CELL00043	U-251MG cells	Homo sapiens	Astrocytoma	.
CELL00235	U251-TR3 cells	Homo sapiens	Astrocytoma	.
CELL00243	U-373MG cells	Homo sapiens	Astrocytoma	.
CELL00351	U118 cells	Homo sapiens	Astrocytoma	.
CELL00357	A4/Fukuda cells	Homo sapiens	B acute lymphoblastic leukemia	.
CELL00119	OE33 cells	Homo sapiens	Barrett adenocarcinoma	.
CELL00402	FLO-1 cells	Homo sapiens	Barrett adenocarcinoma	.
CELL00398	SU-DHL-16 cells	Homo sapiens	B-cell non-Hodgkin lymphoma	.
CELL00067	5637 cells	Homo sapiens	Bladder carcinoma	.
CELL00102	J82 cells	Homo sapiens	Bladder carcinoma	.
CELL00136	T24 cells	Homo sapiens	Bladder carcinoma	.
CELL00215	RT-112 cells	Homo sapiens	Bladder carcinoma	.
CELL00224	SW780 cells	Homo sapiens	Bladder carcinoma	.
CELL00230	UM-UC-3 cells	Homo sapiens	Bladder carcinoma	.
CELL00312	253J cells	Homo sapiens	Bladder carcinoma	.
CELL00335	RT4 cells	Homo sapiens	Bladder carcinoma	.
CELL00366	KU-19-19 cells	Homo sapiens	Bladder carcinoma	.
CELL00401	ECV-304 cells	Homo sapiens	Bladder carcinoma	.
CELL00131	SW1353 cells	Homo sapiens	Bone chondrosarcoma	.
CELL00003	SK-BR-3 cells	Homo sapiens	Breast adenocarcinoma	.
CELL00005	MDA-MB-231 cells	Homo sapiens	Breast adenocarcinoma	.
CELL00111	MDA-MB-453 cells	Homo sapiens	Breast adenocarcinoma	.
CELL00112	MDA-MB-468 cells	Homo sapiens	Breast adenocarcinoma	.
CELL00298	MDA-kb2 cells	Homo sapiens	Breast adenocarcinoma	.
CELL00469	MDA231-LM2-4175 cells	Homo sapiens	Breast adenocarcinoma	.
CELL00002	MCF-7 cells	Homo sapiens	Breast carcinoma	.
CELL00075	Bcap37 cells	Homo sapiens	Breast carcinoma	.
CELL00145	MDA-MB-157 cells	Homo sapiens	Breast carcinoma	.
CELL00214	ZR-75-30 cells	Homo sapiens	Breast carcinoma	.
CELL00349	MDA-MB-436 cells	Homo sapiens	Breast carcinoma	.
CELL00434	SUM52PE cells	Homo sapiens	Breast carcinoma	.
CELL00086	HCC1937 cells	Homo sapiens	Breast ductal carcinoma	.
CELL00165	HCC1143 cells	Homo sapiens	Breast ductal carcinoma	.
CELL00166	HCC1187 cells	Homo sapiens	Breast ductal carcinoma	.
CELL00167	HCC1395 cells	Homo sapiens	Breast ductal carcinoma	.
CELL00168	HCC1419 cells	Homo sapiens	Breast ductal carcinoma	.
CELL00170	HCC1954 T-DM1R (T-DM1 resistance) cells	Homo sapiens	Breast ductal carcinoma	.
CELL00171	HCC38 cells	Homo sapiens	Breast ductal carcinoma	.
CELL00173	HCC70 cells	Homo sapiens	Breast ductal carcinoma	.
CELL00460	SUM159 cells	Homo sapiens	Breast pleomorphic carcinoma	.
CELL00463	SUM159PT cells	Homo sapiens	Breast pleomorphic carcinoma	.
CELL00169	HCC1806 cells	Homo sapiens	Breast squamous cell carcinoma	.
CELL00040	Daudi cells	Homo sapiens	Burkitt lymphoma	.
CELL00158	CA46 cells	Homo sapiens	Burkitt lymphoma	.
CELL00373	MUTZ-1 cells	Homo sapiens	Burkitt lymphoma	.
CELL00370	LS513 cells	Homo sapiens	Cecum adenocarcinoma	.
CELL00380	NCI-H508 cells	Homo sapiens	Cecum adenocarcinoma	.
CELL00381	NCI-H716 cells	Homo sapiens	Cecum adenocarcinoma	.
CELL00178	HSC-4 cells	Homo sapiens	Cervical lymph node	.
CELL00050	SiHa cells	Homo sapiens	Cervical squamous cell carcinoma	.
CELL00157	Ca Ski cells	Homo sapiens	Cervical squamous cell carcinoma	.
CELL00359	C33A cells	Homo sapiens	Cervical squamous cell carcinoma	.
CELL00038	THP-1 cells	Homo sapiens	Childhood acute monocytic leukemia	.
CELL00058	MV4-11 cells	Homo sapiens	Childhood acute monocytic leukemia	.
CELL00256	HuH-28 cells	Homo sapiens	Cholangiocarcinoma	.
CELL00305	QBC939 cells	Homo sapiens	Cholangiocarcinoma	.
CELL00036	K-562 cells	Homo sapiens	Chronic myelogenous leukemia	.
CELL00450	K562/G01 cells	Homo sapiens	Chronic myeloid leukemia	.
CELL00417	UM-RC-2 cells	Homo sapiens	Clear cell renal carcinoma	.
CELL00505	UOK101 cells	Homo sapiens	Clear cell renal carcinoma	.
CELL00081	Caki-1 cells	Homo sapiens	Clear cell renal cell carcinoma	.
CELL00121	RCC4 cells	Homo sapiens	Clear cell renal cell carcinoma	.
CELL00292	KTCTL-26 cells	Homo sapiens	Clear cell renal cell carcinoma	.
CELL00387	OS-RC-2 cells	Homo sapiens	Clear cell renal cell carcinoma	.
CELL00519	HN4 cells	Homo sapiens	Clear cell renal cell carcinoma	.
CELL00018	SW480 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00046	Caco-2 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00083	DLD-1 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00088	HCT 15 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00096	HT-29 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00103	KAT-5 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00109	LoVo cells	Homo sapiens	Colon adenocarcinoma	.
CELL00132	SW1116 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00133	SW620 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00190	LS174T cells	Homo sapiens	Colon adenocarcinoma	.
CELL00223	SW48 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00318	MC-38 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00420	CCK-81 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00458	C75 cells	Homo sapiens	Colon adenocarcinoma	.
CELL00087	HCT 116 cells	Homo sapiens	Colon carcinoma	.
CELL00122	RKO cells	Homo sapiens	Colon carcinoma	.
CELL00182	KM12 cells	Homo sapiens	Colon carcinoma	.
CELL00301	DiFi cells	Homo sapiens	Colorectal carcinoma	.
CELL00609	SK-MEL-28 cells	Homo sapiens	Cutaneous melanoma	.
CELL00126	SK-MEL-5 cells	Homo sapiens	Cutaneous melanoma	.
CELL00179	IGR-1 cells	Homo sapiens	Cutaneous melanoma	.
CELL00347	SK-MEL-3 cells	Homo sapiens	Cutaneous melanoma	.
CELL00517	CFBE41o- cells	Homo sapiens	Cystic fibrosis	.
CELL00129	SU-DHL-4 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00180	Karpas-422 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00227	SU-DHL-5 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00231	WSU-NHL cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00234	U-2932 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00242	SU-DHL-6 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00314	SU-DHL-2 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00356	A3/Kawakami cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00363	DoHH2 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00397	SU-DHL-10 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00399	WILL-2 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00407	SU-DHL-8 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00442	SU-DHL-9 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00443	SU-DHL-7 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00539	OCI-LY8 cells	Homo sapiens	Diffuse large B-cell lymphoma	.
CELL00334	NTERA-2 cells	Homo sapiens	Embryonal carcinoma	.
CELL00424	KYM-1 cells	Homo sapiens	Embryonal rhabdomyosarcoma	.
CELL00525	Rh36 cells	Homo sapiens	Embryonal rhabdomyosarcoma	.
CELL00017	SMMC-7721 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00049	HeLa cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00140	WRL 68 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00262	GLC-82 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00291	BEL-7402 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00300	Tca8113 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00304	L-02 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00306	SPC-A1 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00316	Abcam HeLa ERGIC2 KO cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00341	HO8910PM cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00474	BEL-7404 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00479	HO8910 cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00537	TSCCA cells	Homo sapiens	Endocervical adenocarcinoma	.
CELL00024	Ishikawa cells	Homo sapiens	Endometrial adenocarcinoma	.
CELL00089	HEC-1-A cells	Homo sapiens	Endometrial adenocarcinoma	.
CELL00090	HEC-1-B cells	Homo sapiens	Endometrial adenocarcinoma	.
CELL00181	KLE cells	Homo sapiens	Endometrial adenocarcinoma	.
CELL00333	AN3CA cells	Homo sapiens	Endometrial adenocarcinoma	.
CELL00421	Hec50 cells	Homo sapiens	Endometrial adenocarcinoma	.
CELL00123	RL95-2 cells	Homo sapiens	Endometrial adenosquamous carcinoma	.
CELL00034	HEL cells	Homo sapiens	Erythroleukemia	.
CELL00395	OACM5.1 C cells	Homo sapiens	Esophageal adenocarcinoma	.
CELL00026	EC9706 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00184	KYSE30 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00185	KYSE-410 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00186	KYSE-510 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00187	KYSE-70 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00228	TE-1 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00259	T.Tn cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00282	TE-13 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00302	Eca-109 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00367	KYSE150 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00368	KYSE-450 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00369	KYSE-170 cells	Homo sapiens	Esophageal squamous cell carcinoma	.
CELL00350	Sk-ES-1 cells	Homo sapiens	Ewing sarcoma	.
CELL00095	HT-1080 cells	Homo sapiens	Fibrosarcoma	.
CELL00426	NOZ cells	Homo sapiens	Gallbladder carcinoma	.
CELL00427	OCUG-1 cells	Homo sapiens	Gallbladder carcinoma	.
CELL00482	GBC-SD cells	Homo sapiens	Gallbladder carcinoma	.
CELL00520	EH-GB1 cells	Homo sapiens	Gallbladder carcinoma	.
CELL00006	SNU-1 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00011	Hs746T cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00071	AGS cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00114	MKN45 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00280	TMK-1 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00336	SNU-16 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00338	SNU-484 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00448	MZ-GC-1 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00449	MZ-GC-2 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00496	YCC-16 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00497	YCC-6 cells	Homo sapiens	Gastric adenocarcinoma	.
CELL00124	SGC-7901 cells	Homo sapiens	Gastric carcinoma	.
CELL00174	HGC-27 cells	Homo sapiens	Gastric carcinoma	.
CELL00192	MKN-1 cells	Homo sapiens	Gastric carcinoma	.
CELL00208	NUGC-3 cells	Homo sapiens	Gastric carcinoma	.
CELL00261	BGC-823 cells	Homo sapiens	Gastric carcinoma	.
CELL00327	STKM-2 cells	Homo sapiens	Gastric carcinoma	.
CELL00193	MKN-28 cells	Homo sapiens	Gastric epithelial carcinoma	.
CELL00290	MGC-803 cells	Homo sapiens	Gastric mucinous adenocarcinoma	.
CELL00104	KATO III cells	Homo sapiens	Gastric signet ring cell adenocarcinoma	.
CELL00257	NUGC-4 cells	Homo sapiens	Gastric signet ring cell adenocarcinoma	.
CELL00288	SNU-668 cells	Homo sapiens	Gastric signet ring cell adenocarcinoma	.
CELL00339	SNU-601 cells	Homo sapiens	Gastric signet ring cell adenocarcinoma	.
CELL00023	NCI-N87 cells	Homo sapiens	Gastric tubular adenocarcinoma	.
CELL00254	MKN74 cells	Homo sapiens	Gastric tubular adenocarcinoma	.
CELL00454	SNU-719 cells	Homo sapiens	Gastric tubular adenocarcinoma	.
CELL00044	U-87MG cells	Homo sapiens	Glioblastoma	.
CELL00068	A-172 cells	Homo sapiens	Glioblastoma	.
CELL00107	LN-229 cells	Homo sapiens	Glioblastoma	.
CELL00137	T98G cells	Homo sapiens	Glioblastoma	.
CELL00295	U87 MG-Red-Fluc cells	Homo sapiens	Glioblastoma	.
CELL00323	U-87MG cells	Homo sapiens	Glioblastoma	.
CELL00392	SF126 cells	Homo sapiens	Glioblastoma	.
CELL00506	T98 cells	Homo sapiens	Glioblastoma	.
CELL00048	Hep-G2 cells	Homo sapiens	Hepatoblastoma	.
CELL00279	HuH-6 cells	Homo sapiens	Hepatoblastoma	.
CELL00012	Huh-7 cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00016	PLC/PRF/5 cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00084	SNU-387 cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00098	Hep 3B2.1-7 cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00175	HLE cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00308	HA22T/VGH cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00315	HepaRG cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00332	HA59T/VGH cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00343	SNU475 cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00447	MHCC97-L cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00476	PLC/PRF/5 cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00488	Huh-7.5 cells	Homo sapiens	Hepatocellular carcinoma	.
CELL00110	Mahlavu cells	Homo sapiens	Hepatoma	.
CELL00400	UOK262 cells	Homo sapiens	Hereditary leiomyomatosis	.
CELL00211	OVCAR-8 cells	Homo sapiens	High grade ovarian serous adenocarcinoma	.
CELL00161	FaDu cells	Homo sapiens	Hypopharyngeal squamous cell carcinoma	.
CELL00467	AMC-HN-2 cells	Homo sapiens	Hypopharyngeal squamous cell carcinoma	.
CELL00521	SNU-1041 cells	Homo sapiens	Hypopharyngeal squamous cell carcinoma	.
CELL00250	HCT-8 cells	Homo sapiens	Ileocecal adenocarcinoma	.
CELL00465	IOMM-Lee cells	Homo sapiens	Intracranial meningioma	.
CELL00097	HuCC-T1 cells	Homo sapiens	Intrahepatic cholangiocarcinoma	.
CELL00284	RBE cells	Homo sapiens	Intrahepatic cholangiocarcinoma	.
CELL00303	HCCC-9810 cells	Homo sapiens	Intrahepatic cholangiocarcinoma	.
CELL00010	Hs-578T cells	Homo sapiens	Invasive breast carcinoma	.
CELL00019	ZR-75-1 cells	Homo sapiens	Invasive breast carcinoma	.
CELL00078	BT-474 cells	Homo sapiens	Invasive breast carcinoma	.
CELL00135	T-47D cells	Homo sapiens	Invasive breast carcinoma	.
CELL00156	BT-549 cells	Homo sapiens	Invasive breast carcinoma	.
CELL00077	BT-20 cells	Homo sapiens	Invasive breast carcinoma of no special type	.
CELL00293	AMC-HN-3 cells	Homo sapiens	Laryngeal squamous cell carcinoma	.
CELL00451	SNU-1066 cells	Homo sapiens	Laryngeal squamous cell carcinoma	.
CELL00452	SNU-1076 cells	Homo sapiens	Laryngeal squamous cell carcinoma	.
CELL00490	HN-10 cells	Homo sapiens	Laryngeal squamous cell carcinoma	.
