unique_id	target_id	regulator_id	drug_id	disease_id
unique00304	TAR10055	REG10111	ferrodrug0028	DIS00006
unique00475	TAR10055	REG10485	ferrodrug0335	DIS00006
unique00016	TAR10055	REG10520	ferrodrug0243	DIS00006
unique00802	TAR10004	REG10318	ferrodrug0328	DIS00011
unique00802	TAR10004	REG10318	ferrodrug0328	DIS00011
unique00812	TAR10029	REG10226	ferrodrug0133	DIS00013
unique00812	TAR10029	REG10226	ferrodrug0133	DIS00013
unique00811	TAR10041	REG10226	ferrodrug0133	DIS00013
unique00811	TAR10041	REG10226	ferrodrug0133	DIS00013
unique00162	TAR10055	REG10207	ferrodrug0146	DIS00013
unique00162	TAR10055	REG10207	ferrodrug0146	DIS00013
unique00929	TAR10017	REG10112	ferrodrug0116	DIS00014
unique00929	TAR10017	REG10112	ferrodrug0116	DIS00014
unique00549	TAR10055	REG10520	ferrodrug0359	DIS00016
unique01027	TAR10055	REG30047	ferrodrug0064	DIS00017
unique01027	TAR10055	REG30047	ferrodrug0064	DIS00017
unique00417	TAR10055	REG10150	ferrodrug0290	DIS00018
dupunique00417	TAR10055	REG10520	ferrodrug0290	DIS00018
unique01073	TAR10028	REG10109	ferrodrug0285	DIS00019
unique01073	TAR10028	REG10109	ferrodrug0285	DIS00019
unique00219	TAR10028	REG10520	ferrodrug0293	DIS00024
unique00170	TAR10028	REG10488	ferrodrug0260	DIS00025
unique00170	TAR10028	REG10488	ferrodrug0260	DIS00025
unique00960	TAR10009	REG50014	ferrodrug0244	DIS00026
unique00961	TAR10009	REG50014	ferrodrug0032	DIS00026
unique00961	TAR10009	REG50014	ferrodrug0032	DIS00026
unique00960	TAR10009	REG50014	ferrodrug0244	DIS00026
unique01084	TAR10028	REG10144	ferrodrug0292	DIS00026
unique01084	TAR10028	REG10144	ferrodrug0292	DIS00026
unique00320	TAR10055	REG20126	ferrodrug0186	DIS00026
unique00320	TAR10055	REG20126	ferrodrug0186	DIS00026
unique00155	TAR10055	REG10520	ferrodrug0136	DIS00026
unique00864	TAR10055	REG10173	ferrodrug0076	DIS00027
unique00864	TAR10055	REG10173	ferrodrug0076	DIS00027
unique00082	TAR10066	REG10392	ferrodrug0310	DIS00027
unique00083	TAR10066	REG10022	ferrodrug0429	DIS00027
unique00082	TAR10066	REG10392	ferrodrug0310	DIS00027
unique00083	TAR10066	REG10022	ferrodrug0429	DIS00027
unique01089	TAR10006	REG10419	ferrodrug0292	DIS00028
unique00873	TAR10006	REG20003	ferrodrug0369	DIS00028
unique00872	TAR10006	REG20022	ferrodrug0369	DIS00028
unique00870	TAR10006	REG20029	ferrodrug0369	DIS00028
unique00871	TAR10006	REG20027	ferrodrug0369	DIS00028
unique00875	TAR10006	REG20001	ferrodrug0369	DIS00028
unique00869	TAR10006	REG20092	ferrodrug0369	DIS00028
unique00874	TAR10006	REG20002	ferrodrug0369	DIS00028
unique01089	TAR10006	REG10419	ferrodrug0292	DIS00028
unique00875	TAR10006	REG20001	ferrodrug0369	DIS00028
unique00874	TAR10006	REG20002	ferrodrug0369	DIS00028
unique00873	TAR10006	REG20003	ferrodrug0369	DIS00028
unique00872	TAR10006	REG20022	ferrodrug0369	DIS00028
unique00871	TAR10006	REG20027	ferrodrug0369	DIS00028
unique00870	TAR10006	REG20029	ferrodrug0369	DIS00028
unique00869	TAR10006	REG20092	ferrodrug0369	DIS00028
unique00653	TAR10028	REG10154	ferrodrug0011	DIS00028
unique00652	TAR10028	REG10155	ferrodrug0011	DIS00028
unique00654	TAR10028	REG10477	ferrodrug0011	DIS00028
unique00653	TAR10028	REG10154	ferrodrug0011	DIS00028
unique00652	TAR10028	REG10155	ferrodrug0011	DIS00028
unique00654	TAR10028	REG10477	ferrodrug0011	DIS00028
unique01325	TAR10029	REG10226	ferrodrug0444	DIS00028
unique01325	TAR10029	REG10226	ferrodrug0444	DIS00028
unique00743	TAR10041	REG10383	ferrodrug0179	DIS00028
unique01324	TAR10041	REG10226	ferrodrug0444	DIS00028
unique01324	TAR10041	REG10226	ferrodrug0444	DIS00028
unique00743	TAR10041	REG10383	ferrodrug0179	DIS00028
unique01618	TAR10055	REG10278	ferrodrug0190	DIS00028
unique01725	TAR10055	REG10102	ferrodrug0101	DIS00028
unique01725	TAR10055	REG10102	ferrodrug0101	DIS00028
unique01618	TAR10055	REG10278	ferrodrug0190	DIS00028
unique01497	TAR10055	REG10281	ferrodrug0049	DIS00028
unique00403	TAR10022	REG10494	ferrodrug0124	DIS00030
unique01191	TAR10028	REG10336	ferrodrug0335	DIS00030
unique00567	TAR10029	REG10207	ferrodrug0003	DIS00030
unique00566	TAR10041	REG10207	ferrodrug0003	DIS00030
unique01508	TAR10055	REG10502	ferrodrug0301	DIS00030
unique01509	TAR10055	REG10302	ferrodrug0301	DIS00030
unique01715	TAR10063	REG10155	ferrodrug0123	DIS00030
unique01063	TAR10006	REG10328	ferrodrug0241	DIS00031
unique01384	TAR10006	REG10495	ferrodrug0038	DIS00031
unique01385	TAR10006	REG20004	ferrodrug0038	DIS00031
unique00922	TAR10028	REG10347	ferrodrug0038	DIS00031
unique01261	TAR10028	REG30030	ferrodrug0108	DIS00031
unique01262	TAR10028	REG20018	ferrodrug0108	DIS00031
unique01386	TAR10028	REG10263	ferrodrug0365	DIS00031
unique01586	TAR10028	REG30018	ferrodrug0204	DIS00031
unique01742	TAR10028	REG30014	ferrodrug0038	DIS00031
unique00537	TAR10041	REG10214	ferrodrug0217	DIS00031
unique00724	TAR10041	REG10369	ferrodrug0235	DIS00031
unique00827	TAR10041	REG10209	ferrodrug0038	DIS00031
unique01585	TAR10041	REG30018	ferrodrug0204	DIS00031
unique01722	TAR10041	REG10214	ferrodrug0235	DIS00031
unique01061	TAR10063	REG10328	ferrodrug0241	DIS00031
unique01062	TAR10063	REG10144	ferrodrug0241	DIS00031
unique01443	TAR10006	REG10116	ferrodrug0285	DIS00033
unique01445	TAR10006	REG10116	ferrodrug0244	DIS00033
unique00646	TAR10006	REG10506	ferrodrug0242	DIS00033
unique01429	TAR10022	REG30001	ferrodrug0316	DIS00033
unique01430	TAR10022	REG20003	ferrodrug0316	DIS00033
unique00648	TAR10028	REG10506	ferrodrug0242	DIS00033
unique01683	TAR10028	REG20052	ferrodrug0130	DIS00033
unique01684	TAR10028	REG20043	ferrodrug0130	DIS00033
unique01800	TAR10028	REG10306	ferrodrug0241	DIS00033
unique01801	TAR10028	REG10226	ferrodrug0241	DIS00033
unique00301	TAR10041	REG10207	ferrodrug0436	DIS00033
unique01677	TAR10041	REG10170	ferrodrug0335	DIS00033
unique01812	TAR10041	REG10275	ferrodrug0237	DIS00033
unique01444	TAR10055	REG10116	ferrodrug0285	DIS00033
unique01446	TAR10055	REG10116	ferrodrug0244	DIS00033
unique00392	TAR10055	REG10129	ferrodrug0219	DIS00033
unique00647	TAR10055	REG10506	ferrodrug0242	DIS00033
unique00514	TAR10041	REG10167	ferrodrug0164	DIS00035
unique00515	TAR10041	REG10214	ferrodrug0164	DIS00035
unique00855	TAR10046	REG50010	ferrodrug0423	DIS00035
unique00128	TAR10055	REG10520	ferrodrug0324	DIS00035
unique00501	TAR10006	REG10459	ferrodrug0059	DIS00036
unique00890	TAR10022	REG10038	ferrodrug0299	DIS00038
unique00890	TAR10022	REG10038	ferrodrug0299	DIS00038
unique00889	TAR10028	REG10038	ferrodrug0299	DIS00038
unique00889	TAR10028	REG10038	ferrodrug0299	DIS00038
unique00396	TAR10028	REG10507	ferrodrug0037	DIS00038
unique00441	TAR10028	REG10426	ferrodrug0108	DIS00038
unique01076	TAR10028	REG20038	ferrodrug0049	DIS00038
unique00888	TAR10052	REG10038	ferrodrug0299	DIS00038
unique00888	TAR10052	REG10038	ferrodrug0299	DIS00038
unique00887	TAR10055	REG10038	ferrodrug0299	DIS00038
unique00887	TAR10055	REG10038	ferrodrug0299	DIS00038
unique00296	TAR10055	REG10515	ferrodrug0385	DIS00038
unique00306	TAR10055	REG20037	ferrodrug0044	DIS00038
unique00309	TAR10055	REG10463	ferrodrug0049	DIS00038
unique00253	TAR10061	REG10162	ferrodrug0268	DIS00038
unique00305	TAR10055	REG20037	ferrodrug0044	DIS00040
unique01814	TAR10063	REG10328	ferrodrug0430	DIS00040
unique01815	TAR10063	REG10144	ferrodrug0430	DIS00040
unique00053	TAR10067	REG10332	ferrodrug0122	DIS00040
unique00634	TAR10053	REG10126	ferrodrug0037	DIS00041
unique00633	TAR10055	REG10126	ferrodrug0037	DIS00041
unique00635	TAR10056	REG10126	ferrodrug0037	DIS00041
unique00823	TAR10030	REG10192	ferrodrug0285	DIS00042
unique00823	TAR10030	REG10192	ferrodrug0285	DIS00042
unique00184	TAR10067	REG10287	ferrodrug0004	DIS00042
unique00185	TAR10067	REG10174	ferrodrug0004	DIS00042
unique00186	TAR10067	REG10047	ferrodrug0004	DIS00042
unique00186	TAR10067	REG10047	ferrodrug0004	DIS00042
unique00185	TAR10067	REG10174	ferrodrug0004	DIS00042
unique00184	TAR10067	REG10287	ferrodrug0004	DIS00042
unique00492	TAR10022	REG10432	ferrodrug0011	DIS00045
unique01532	TAR10028	REG20038	ferrodrug0254	DIS00045
unique01751	TAR10022	REG40031	ferrodrug0174	DIS00052
unique01750	TAR10028	REG40031	ferrodrug0174	DIS00052
unique01749	TAR10041	REG40031	ferrodrug0174	DIS00052
unique01752	TAR10065	REG20067	ferrodrug0174	DIS00052
unique01748	TAR10065	REG40031	ferrodrug0174	DIS00052
unique00287	TAR10028	REG10139	ferrodrug0117	DIS00066
unique01149	TAR10028	REG10132	ferrodrug0403	DIS00066
unique00496	TAR10041	REG10299	ferrodrug0095	DIS00066
unique00626	TAR10041	REG10214	ferrodrug0234	DIS00068
unique01094	TAR10028	REG10088	ferrodrug0276	DIS00069
unique00207	TAR10041	REG10154	ferrodrug0109	DIS00069
unique00671	TAR10041	REG10214	ferrodrug0439	DIS00069
unique00265	TAR10055	REG10520	ferrodrug0276	DIS00069
unique00576	TAR10006	REG10435	ferrodrug0106	DIS00073
unique00596	TAR10028	REG10160	ferrodrug0232	DIS00073
unique00599	TAR10028	REG10299	ferrodrug0009	DIS00073
dupunique00112	TAR10028	REG10520	ferrodrug0034	DIS00073
unique00597	TAR10041	REG10299	ferrodrug0009	DIS00073
unique00577	TAR10042	REG10435	ferrodrug0106	DIS00073
unique00595	TAR10055	REG10160	ferrodrug0232	DIS00073
unique00598	TAR10055	REG10299	ferrodrug0009	DIS00073
dupunique00594	TAR10055	REG10520	ferrodrug0232	DIS00073
unique01156	TAR10006	REG30011	ferrodrug0104	DIS00074
unique01157	TAR10006	REG30011	ferrodrug0104	DIS00074
unique00742	TAR10028	REG10207	ferrodrug0116	DIS00074
unique01518	TAR10028	REG10145	ferrodrug0041	DIS00074
unique01519	TAR10041	REG10145	ferrodrug0041	DIS00074
unique01793	TAR10052	REG10187	ferrodrug0185	DIS00074
dupunique00285	TAR10055	REG10520	ferrodrug0267	DIS00074
unique00285	TAR10055	REG20114	ferrodrug0267	DIS00074
unique00588	TAR10041	REG10214	ferrodrug0269	DIS00075
unique00745	TAR10006	REG10403	ferrodrug0100	DIS00076
unique00609	TAR10028	REG10413	ferrodrug0185	DIS00076
unique00608	TAR10028	REG10155	ferrodrug0185	DIS00076
unique00522	TAR10028	REG10160	ferrodrug0442	DIS00076
unique00739	TAR10041	REG10209	ferrodrug0269	DIS00076
unique00740	TAR10041	REG10214	ferrodrug0269	DIS00076
unique00524	TAR10042	REG10160	ferrodrug0442	DIS00076
unique00523	TAR10065	REG10160	ferrodrug0442	DIS00076
unique00525	TAR10028	REG10081	ferrodrug0025	DIS00080
unique01692	TAR10022	REG10275	ferrodrug0035	DIS00086
unique01691	TAR10028	REG10275	ferrodrug0035	DIS00086
unique01453	TAR10041	REG20024	ferrodrug0269	DIS00087
unique01454	TAR10041	REG10299	ferrodrug0269	DIS00087
unique01399	TAR10029	REG10279	ferrodrug0265	DIS00093
unique01398	TAR10041	REG10279	ferrodrug0265	DIS00093
unique00400	TAR10041	REG10477	ferrodrug0245	DIS00093
unique00709	TAR10042	REG10232	ferrodrug0045	DIS00093
unique00334	TAR10028	REG10211	ferrodrug0051	DIS00094
unique00695	TAR10028	REG10390	ferrodrug0370	DIS00094
unique01339	TAR10028	REG10154	ferrodrug0084	DIS00094
unique01340	TAR10028	REG10477	ferrodrug0084	DIS00094
unique00693	TAR10041	REG10390	ferrodrug0370	DIS00094
unique00694	TAR10055	REG10390	ferrodrug0370	DIS00094
unique01286	TAR10060	REG10348	ferrodrug0051	DIS00094
unique01287	TAR10060	REG30070	ferrodrug0051	DIS00094
unique01288	TAR10060	REG20014	ferrodrug0051	DIS00094
unique01736	TAR10006	REG10299	ferrodrug0207	DIS00096
unique01735	TAR10028	REG10299	ferrodrug0207	DIS00096
unique01734	TAR10029	REG10299	ferrodrug0207	DIS00096
unique01733	TAR10041	REG10299	ferrodrug0207	DIS00096
unique01539	TAR10055	REG20103	ferrodrug0341	DIS00096
unique01174	TAR10028	REG10299	ferrodrug0203	DIS00100
unique00542	TAR10022	REG10340	ferrodrug0060	DIS00106
unique00541	TAR10035	REG10340	ferrodrug0060	DIS00106
unique00137	TAR10006	REG10048	ferrodrug0007	DIS00109
unique00136	TAR10006	REG10048	ferrodrug0072	DIS00109
unique00248	TAR10041	REG10214	ferrodrug0153	DIS00109
unique00232	TAR10063	REG10144	ferrodrug0199	DIS00109
unique00231	TAR10063	REG20081	ferrodrug0199	DIS00109
unique00934	TAR10035	REG10122	ferrodrug0038	DIS00110
unique00935	TAR10035	REG10246	ferrodrug0038	DIS00110
unique00933	TAR10035	REG10294	ferrodrug0038	DIS00110
unique00866	TAR10035	REG10221	ferrodrug0038	DIS00110
unique01810	TAR10041	REG10179	ferrodrug0171	DIS00110
unique00269	TAR10028	REG10434	ferrodrug0298	DIS00114
unique01795	TAR10041	REG10366	ferrodrug0151	DIS00114
unique01794	TAR10055	REG10366	ferrodrug0151	DIS00114
unique00726	TAR10029	REG10214	ferrodrug0125	DIS00121
unique00725	TAR10041	REG10214	ferrodrug0125	DIS00121
unique00374	TAR10055	REG10317	ferrodrug0161	DIS00121
unique00229	TAR10055	REG10520	ferrodrug0158	DIS00123
unique00249	TAR10028	REG10271	ferrodrug0381	DIS00125
unique00266	TAR10041	REG10209	ferrodrug0395	DIS00127
unique00267	TAR10041	REG10214	ferrodrug0395	DIS00127
unique00405	TAR10028	REG10114	ferrodrug0257	DIS00130
unique00406	TAR10028	REG10114	ferrodrug0323	DIS00130
unique00234	TAR10028	REG10312	ferrodrug0378	DIS00131
unique00439	TAR10028	REG10081	ferrodrug0127	DIS00131
unique01762	TAR10028	REG10113	ferrodrug0194	DIS00131
unique00076	TAR10028	REG10092	ferrodrug0139	DIS00131
unique00543	TAR10041	REG10209	ferrodrug0097	DIS00131
