"RCD","Effect","Exp_organism","PMID","Remark","Latest_update","Data_source"
"Ferroptosis","Ferroptosis :+: Photoreceptor degeneration","Mice",33334878,NA,2021-06-19,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Spinal cord injury","Mice",33333051,NA,2021-07-14,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Early brain injury","Rat",33314758,NA,2021-07-16,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Epileptic seizures","Mice",33362556,NA,2021-07-16,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Small cell lung cancer","Human",33365082,NA,2021-07-28,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Breast cancer","Human, mice",33229547,NA,2021-08-02,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Mice",33068011,NA,2021-08-04,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Breast cancer","Human",33294119,NA,2021-08-06,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Esophageal squamous cell carcinoma","Human, mice",33210267,NA,2021-08-06,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Human",33203867,NA,2021-08-06,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Amyotrophic lateral sclerosis","Human",33312375,NA,2021-08-09,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Prostate cancer","Human",33197601,NA,2021-08-09,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Intervertebral disc degeneration","Human, mice",33166496,NA,2021-08-11,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Friedreich's ataxia","Mice",33197769,NA,2021-08-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Ischemia/reperfusion injury","Rat",33157209,NA,2021-08-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetic nephropathy","Human, mice",33152439,NA,2021-08-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Cerebral ischemia-reperfusion injury","Gerbils",33127512,NA,2021-08-21,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Sunitinib-resistant renal cell carcinoma","Human",33121039,NA,2021-08-23,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Clear cell renal cell carcinoma","Human",33643820,NA,2021-09-03,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Kidney injury","Mice",32979361,NA,2021-09-06,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Diabetic nephropathy","Mice",32976829,NA,2021-09-06,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Liver injury","Mice",32951003,NA,2021-09-10,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Intestinal ischemia/reperfusion-induced acute lung injury","Mice",33014271,NA,2021-09-10,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Liver fibrosis","Human",32947011,NA,2021-09-13,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Intervertebral disc degeneration","Human, rat",32892384,NA,2021-09-17,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney failure","Mice",32861798,NA,2021-10-08,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney failure","Mice",32846217,NA,2021-10-11,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Human",32776663,NA,2021-10-11,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Allergic airway inflammation","Mice",32759385,NA,2021-10-29,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Atherosclerosis","Mice",32768568,NA,2021-10-26,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Triple-negative breast cancer","Human",32937365,NA,2021-10-26,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Gastric cancer","Human, mice",32726752,NA,2021-11-04,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Obesity-induced liver and renal injury","Mice",32922599,NA,2021-11-04,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Mice",33364059,NA,2021-11-05,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Human, mice",32699265,NA,2021-11-09,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Triple-negative breast cancer","Human",32696316,NA,2021-11-09,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Hypoxic-ischemic brain damage","Rat",32679060,NA,2021-11-11,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Prostate cancer","Human",32686647,NA,2021-11-12,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Uterine serous carcinoma","Human",32782585,NA,2021-11-16,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Myocardial injury","Rat",32621060,NA,2021-11-16,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Human",32621966,NA,2021-11-17,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute lung injury","Mice",32601262,NA,2021-11-17,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Mice",32583428,NA,2021-11-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Nonalcoholic steatohepatitis","Rat",32593899,NA,2021-11-18,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Hypertensive brain damage","Rat",32564622,NA,2021-11-19,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Prostate cancer","Human",32577235,NA,2021-11-21,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Human",32541921,NA,2021-11-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Myocardial injury","Human",32535745,NA,2021-11-21,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Ulcerative colitis","Mice",32540488,NA,2021-11-21,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Acute myeloid leukemia","Human",32534056,NA,2021-11-25,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Human",32531676,NA,2021-11-25,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Spinal cord injury","Rat",33335755,NA,2021-11-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Spinal cord injury","Mice",32474063,NA,2021-11-30,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Pulmonary fibrosis","Human, rat",32453709,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Parkinson's disease","Human",32424108,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Alcoholic liver disease","Human",32419644,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Hepatocellular carcinoma","Human",32416440,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Oligospermia","Mice",32416107,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Human, mice",32404875,NA,2021-12-02,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Doxorubicin-induced cardiomyopathy","Mice",32376803,NA,2021-12-02,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Myocardial cellular injury","Mice",32377745,"_NA_",2021-12-07,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Cardiomyopathy","Mice",32349646,"_NA_",2021-12-09,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Extrahepatic cholangiocarcinoma","Human",32891325,"_NA_",2021-12-09,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Early brain injury","Rat",32314126,"Early brain injury (EBI) plays a key role in the poor prognoses of SAH (Subarachnoid hemorrhage).",2021-12-09,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Parkinson’s disease","Human",32276028,"_NA_",2021-12-09,"FerrDb team"
"Ferroptosis","Ferroptosis :-: Colorectal cancer","Human",32308771,"_NA_",2021-12-09,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute kidney injury","Rat",32219613,"_NA_",2021-12-16,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Nonalcoholic steatohepatitis","Mice",32145145,"_NA_",2021-12-19,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute lung injury","Mice",32203170,"_NA_",2021-12-19,"FerrDb team"
"Ferroptosis","Ferroptosis :+: Acute lung injury","Mice",32161620,"_NA_",2021-12-22,"FerrDb team"
