uniprot_id,is_core,source
P36956,0,ferrdb;ferreg
P37198,0,ferrdb
P37231,0,ferrdb;ferreg
P37235,0,ferrdb;ferreg
P37275,0,ferrdb;ferreg
P37840,0,ferrdb;ferreg
P38398,0,ferrdb
P38646,0,ferrdb
P38936,0,ferrdb;ferreg
P39748,0,ferrdb
P40121,0,ferrdb
P40763,0,ferrdb;ferreg
P40818,0,ferrdb
P41182,0,ferrdb
P41221,0,ferrdb
P41229,0,ferrdb;ferreg
P41235,0,ferrdb
P41595,0,ferrdb
P42226,0,ferrdb;ferreg
P42336,0,ferrdb;ferreg
P42345,0,ferrdb;ferreg
P42574,0,ferrdb
P42702,0,ferrdb;ferreg
P42771,0,ferrdb
P42898,0,ferrdb
P43268,0,ferrdb;ferreg
P45954,0,ferreg
P45973,0,ferrdb
P45974,0,ferrdb
P45983,0,ferrdb;ferreg
P45984,0,ferrdb
P46934,0,ferrdb;ferreg
P46937,0,ferrdb;ferreg
P47972,0,ferreg
P48163,0,ferrdb
P48201,0,ferrdb;ferreg
P48431,0,ferrdb;ferreg
P48443,0,ferrdb
P4850,0,ferrdb
P48723,0,ferrdb
P48735,0,ferrdb;ferreg
P48741,0,ferrdb
P49368,0,ferrdb
P49450,0,ferrdb
P49589,0,ferrdb;ferreg
P49768,0,ferrdb
P49810,0,ferrdb
P49841,0,ferrdb;ferreg
P49908,0,ferrdb
P50052,0,ferrdb
P50416,0,ferrdb
P50553,0,ferrdb
P51114,0,ferrdb
P51572,0,ferrdb
P51648,0,ferrdb;ferreg
P51784,0,ferrdb;ferreg
P51843,0,ferrdb
P52209,0,ferrdb;ferreg
P52272,0,ferrdb
P52306,0,ferrdb
P52823,0,ferrdb
P52926,0,ferrdb
P53350,0,ferrdb;ferreg
P53567,0,ferrdb
P53985,0,ferrdb
P54578,0,ferrdb;ferreg
P54646,0,ferrdb;ferreg
P54646 ,0,ferrdb
P54652,0,ferrdb
P54687,0,ferrdb
P54764,0,ferrdb
P54826,0,ferrdb
P54849,0,ferrdb;ferreg
P54851,0,ferrdb
P55042,0,ferrdb
P55058,0,ferrdb
P55064,0,ferreg
P55072,0,ferrdb;ferreg
P55087,0,ferrdb
P55157,0,ferrdb
P55201,0,ferreg
P55265,0,ferreg
P55283,0,ferrdb
P55957,0,ferrdb;ferreg
P56270,0,ferrdb;ferreg
P56282,0,ferrdb
P56589,0,ferreg
P56693,0,ferrdb
P57073,0,ferrdb
P57721,0,ferreg
P58004,0,ferrdb;ferreg
P60484,0,ferrdb;ferreg
P60520,0,ferrdb;ferreg
P60880,0,ferrdb
P60983,0,ferrdb
P61812,0,ferrdb
P61923,0,ferrdb;ferreg
P61960,0,ferreg
P61962,0,ferreg
P62328,0,ferrdb;ferreg
P62330,0,ferrdb;ferreg
P62917,0,ferrdb;ferreg
P63027,0,ferrdb
P68431,0,ferrdb
P78423,0,ferrdb
P78540,0,ferrdb
P80188,0,ferrdb;ferreg
P80217,0,ferrdb
P83111,0,ferrdb
P84022,0,ferrdb;ferreg
P85299,0,ferrdb
P98161,0,ferreg
P98177,0,ferrdb;ferreg
P98179,0,ferrdb
Q00005,0,ferrdb
Q00059,0,ferrdb;ferreg
Q00266,0,ferrdb
Q00341,0,ferrdb;ferreg
Q00612,0,ferreg
Q00613,0,ferrdb;ferreg
Q00653,0,ferrdb;ferreg
Q00978,0,ferrdb
Q00987,0,ferrdb;ferreg
Q01094,0,ferrdb
Q01581,0,ferrdb;ferreg
Q01740,0,ferrdb
Q01826,0,ferrdb
Q01954,0,ferrdb;ferreg
Q02127,0,ferrdb;ferreg
Q02556,0,ferrdb
Q02930,0,ferrdb;ferreg
Q02978,0,ferrdb
Q03135,0,ferrdb;ferreg
Q03181,0,ferrdb;ferreg
Q04206,0,ferrdb;ferreg
Q04721,0,ferreg
Q04837,0,ferrdb
Q05084,0,ferrdb
