,source,target,interaction_type
447,CENPA,STMN1,1
448,EMP2,GPX4,1
449,DHODH,mTOR,1
450,YAP1,SLC1A5,1
451,YAP1,GLS1,1
452,ACSL1,FSP1,1
453,ACSL1,SLC7A11,1
454,CNIH4,SLC7A11,1
455,CNIH4,GPX4,1
456,UHRF1,TXNIP,-1
457,TXNIP,PINK1,-1
458,HSPB1,ACSL4,-1
459,IL37,NRF2,1
460,VIRMA,p53,-1
461,PRMT5,HMOX1,-1
462,SIRT1,APE1,1
463,APE1,p53,-1
464,METTL14,TRAF6,-1
465,CXCL8,CXCR2,1
466,CXCR2,nfkb1,-1
467,nfkb1,SLC7A11,-1
468,nfkb1,GPX4,-1
469,GATA1,GPX4,1
470,AGER,Sirt4,1
471,UCKL1,Nrf2,1
472,Nrf2,SLC7A11,1
473,VIRMA,YTHDF1,1
474,YTHDF1,PGK1,1
475,HDAC3,Yap,-1
476,Yap,Hamp,-1
477,FGF2,KLF2,1
478,KLF2,NFE2L2,1
479,USP20,SLC7A11,1
480,SCD,PPARG,1
481,CYBB,Nrf2,1
482,Nrf2,SOD2,1
483,PTPRC,TFEB,-1
484,TFEB,FTH1,-1
485,SQLE,CCNB1,1
486,GATA3,CYB5R2,-1
487,VIRMA,SLC7A11,1
488,USP5,LSH,1
489,AKT1,GPX4,1
490,KL,Nrf2,1
491,METTL9,SLC7A11,1
492,ELOVL5,GPX4,1
493,IGFBP6,GPX4,1
494,YTHDF1,METTL3,1
495,METTL3,FTH,1
496,KMT5A,RRAD,-1
497,NDRG1,GPX4,1
498,HSPB1,nfkbia,-1
499,nfkbia,nfkb1,-1
500,ACAT2,GPX4,1
